epoch,train_loss,val_loss,train_acc,val_acc
1,1.7798635680951882,0.5244967284202575,0.606952268010673,0.86
2,0.4897250669524891,0.3122258985042572,0.8802253187073822,0.926
3,0.26053852965879115,0.22178015613555907,0.9387044174325526,0.93
4,0.14868746039653935,0.18538817870616914,0.967684553809665,0.944
5,0.09178353019065331,0.16465273863077165,0.9829528609546397,0.95
6,0.06420346949964081,0.1902828358411789,0.9875481766973021,0.936
7,0.050818269232411145,0.15765145778656006,0.9905870145271272,0.956
